case,scenario,rate,outcome,n,v1_median,v2_median,v1_cv_pct,v2_cv_pct,pct_change,ci95,note
C1,S1,5000,success_tps,3,5000.005513915396,4999.98920083866,0.00048708066003407533,0.0005356093595807669,-0.0005039313590637917,"[-0.0009332076065682315, 6.18674092400795e-05]",CI includes 0; n=3<5 (below protocol baseline)
C1,S1,5000,p50_us,3,3539,2261,6.235488673825067,18.612064067743656,-28.635073451964786,"[-39.393118396098615, -13.506640293868323]",v2 lower (better); n=3<5 (below protocol baseline)
C1,S1,5000,p95_us,3,19423,15263,3.9791513787196076,69.1662469813194,11.33435352745944,"[-25.23634582414891, 132.9557740822736]",CI includes 0; n=3<5 (below protocol baseline)
C1,S1,5000,p99_us,3,25199,18511,20.007440174695507,79.79992321961508,2.817898587193657,"[-44.69540796510412, 156.38715822056432]",CI includes 0; n=3<5 (below protocol baseline)
C1,S1,5000,p999_us,3,43135,26303,72.84294855596085,77.75972262175758,-32.94462224736861,"[-79.32657921418522, 108.60785904717747]",CI includes 0; n=3<5 (below protocol baseline)
C1,S1,5000,error_rate,3,0,0,,,,,insufficient pairs for effect/CI
C1,S1,5000,read_iops,3,2225.3178150429444,1518.8140043484018,22.372331883347865,36.39863677825141,,,
C1,S1,5000,write_iops,3,2183.088942856692,3299.0905419742894,3.9455787064497594,21.448262149208567,,,
C1,S1,5000,bp_hit,3,0.9752192203474335,0.9791016556708511,0.5177063222568777,0.6283659269071735,,,
C1,S1,5000,service_p99_us,3,25039,18351,17.885624892892917,80.20836952220226,3.9780187643129183,"[-42.85135934726417, 157.38647709573067]",CI includes 0; n=3<5 (below protocol baseline)
C1,S1,5000,burst_recovery_s,0,,,,,,,insufficient pairs for effect/CI
C1,S1,5000,drop_rate,3,0,0,,,,,insufficient pairs for effect/CI
C5,S1,5000,success_tps,5,5000.004531839732,5000.014576823766,0.0004269952682591507,0.0010075560615879786,0.0007002030314895435,"[-7.841226705718185e-05, 0.0014942245865068315]",CI includes 0
C5,S1,5000,p50_us,5,3607,2281,4.507454028101127,8.953681982996246,-34.020573453817605,"[-37.478558071412216, -29.83476786225462]",v2 lower (better)
C5,S1,5000,p95_us,5,19471,17887,2.2645494228309127,65.93270106469167,13.546295306440314,"[-11.573229153812148, 80.43379417849381]",CI includes 0
C5,S1,5000,p99_us,5,24575,23599,8.677750741026543,84.93737037950856,21.619473815259905,"[-11.25440830153458, 118.62322648086673]",CI includes 0
C5,S1,5000,p999_us,5,56863,29791,100.89501684780106,114.03036518486213,-65.22313337816867,"[-89.0851375592994, 10.805835492967919]",CI includes 0
C5,S1,5000,error_rate,5,0,0,,,,,insufficient pairs for effect/CI
C5,S1,5000,read_iops,5,1555.615338843321,1541.5883143028545,4.507459917655321,18.50318092717482,,,
C5,S1,5000,write_iops,5,2168.3619379546853,3236.1849724885324,1.5318412035409468,8.669926564847517,,,
C5,S1,5000,bp_hit,5,0.9790058149818324,0.9788875484244924,0.10451721052554272,0.14872482156900058,,,
C5,S1,5000,service_p99_us,5,24127,23455,4.748825618680201,82.30768269542581,24.173636842444356,"[-7.317532657429293, 116.33131095401721]",CI includes 0
C5,S1,5000,burst_recovery_s,0,,,,,,,insufficient pairs for effect/CI
C5,S1,5000,drop_rate,5,0,0,,,,,insufficient pairs for effect/CI
C5,S2,3000,success_tps,3,3000.00894706686,2999.9977999637244,0.00044074414254648516,0.0006181480123025705,-6.226235991224627e-05,"[-0.0004885288371836438, 0.00041178167882183203]",CI includes 0; n=3<5 (below protocol baseline)
C5,S2,3000,p50_us,3,14999,12471,2.31819857394829,0.32946800392371856,-17.889212860225378,"[-19.97048065199256, -16.694446296419763]",v2 lower (better); n=3<5 (below protocol baseline)
C5,S2,3000,p95_us,3,22495,17743,4.767083733134131,3.2028975694068897,-22.497325995047547,"[-28.581988419366766, -17.357917764185903]",v2 lower (better); n=3<5 (below protocol baseline)
C5,S2,3000,p99_us,3,54143,23023,14.50390879664531,6.45927811002109,-55.20636173847186,"[-62.45825818318185, -43.69914384773226]",v2 lower (better); n=3<5 (below protocol baseline)
C5,S2,3000,p999_us,3,115519,42143,12.279989303322296,2.8885624947353485,-61.70022561735332,"[-65.57816239351143, -54.43094635811916]",v2 lower (better); n=3<5 (below protocol baseline)
C5,S2,3000,error_rate,3,0,0,,,,,insufficient pairs for effect/CI
